Team,Match,Alliance,Time,X,Y
5026,1,blue,4.3,53.79,9.91
5026,1,blue,4.4,53.79,9.93
5026,1,blue,4.5,53.78,9.93
5026,1,blue,4.6,53.79,9.92
5026,1,blue,4.7,53.82,9.93
5026,1,blue,4.8,53.84,9.92
5026,1,blue,4.9,53.86,9.91
5026,1,blue,5.0,53.86,9.88
5026,1,blue,5.1,53.88,9.86
5026,1,blue,5.2,53.89,9.83
5026,1,blue,5.3,53.87,9.81
5026,1,blue,5.4,53.87,9.79
5026,1,blue,5.5,53.86,9.77
5026,1,blue,5.6,53.88,9.76
5026,1,blue,5.7,53.82,9.75
5026,1,blue,5.8,53.73,9.74
5026,1,blue,5.9,53.68,9.78
5026,1,blue,6.0,53.6,9.83
5026,1,blue,6.1,53.53,9.86
5026,1,blue,6.2,53.4,9.88
5026,1,blue,6.3,53.07,9.91
5026,1,blue,6.4,52.65,9.95
5026,1,blue,6.5,52.04,9.92
5026,1,blue,6.6,51.3,9.9
5026,1,blue,6.7,50.46,9.87
5026,1,blue,6.8,49.69,9.86
5026,1,blue,6.9,49.24,9.84
5026,1,blue,7.0,48.96,9.83
5026,1,blue,7.1,48.85,9.81
5026,1,blue,7.2,48.82,9.83
5026,1,blue,7.3,48.76,9.83
5026,1,blue,7.4,48.65,9.83
5026,1,blue,7.5,48.38,9.77
5026,1,blue,7.6,48.04,9.71
5026,1,blue,7.7,47.77,9.69
5026,1,blue,7.8,47.52,9.64
5026,1,blue,7.9,47.37,9.59
5026,1,blue,8.0,47.26,9.55
5026,1,blue,8.1,47.27,9.57
5026,1,blue,8.2,47.3,9.57
5026,1,blue,8.3,47.26,9.55
5026,1,blue,8.4,47.28,9.53
5026,1,blue,8.5,47.29,9.51
5026,1,blue,8.6,47.28,9.48
5026,1,blue,8.7,47.26,9.46
5026,1,blue,8.8,47.26,9.47
5026,1,blue,8.9,47.26,9.49
5026,1,blue,9.0,47.21,9.5
5026,1,blue,9.1,47.22,9.52
5026,1,blue,9.2,47.23,9.57
5026,1,blue,9.3,47.22,9.61
5026,1,blue,9.4,47.18,9.61
5026,1,blue,9.5,47.17,9.59
5026,1,blue,9.6,47.27,9.61
